"","Station","NMDS1","NMDS2"
"1","BRL1",-0.0285061327506602,-0.475700264037682
"2","CBS2",0.25502054512187,-0.0742035902052121
"3","CT",0.744112948982502,0.0282372531515771
"4","FWC1",-0.636653823535387,-0.052635057804392
"5","RCR2",-0.182223578493629,0.304497526292182
"6","TPPL",0.0803317179182836,0.249880964687806
